City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
551,Xuddur,SO,79.77,scattered clouds,4.1213,43.8894,Banjanay Hotel
552,Kalmunai,LK,78.48,few clouds,7.4167,81.8167,VS Villa
553,Paracatu,BR,75.7,broken clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
555,Chilpancingo,MX,86.99,scattered clouds,17.55,-99.5,Relámpago Cartuchos Deportivos de Guerrero S.A. de C.V.
558,Dori,BF,86.59,broken clouds,14.0354,-0.0345,Hôtel Liptako
562,Tucurui,BR,76.08,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
563,Santiago,CL,80.04,clear sky,-33.4569,-70.6483,Hotel Panamericano
568,Tessalit,ML,83.03,few clouds,20.1986,1.0114,
571,Houma,US,78.03,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
575,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
577,Luwuk,ID,77.02,light rain,-0.9516,122.7875,Hotel Santika Luwuk
581,Goundam,ML,87.51,broken clouds,16.4145,-3.6708,
589,Trairi,BR,77.11,overcast clouds,-3.2778,-39.2689,janelas do mar
596,Saint-Georges,GD,77.63,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
597,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
599,Srandakan,ID,76.59,overcast clouds,-7.9386,110.2506,Puri Brata
606,Upata,VE,80.55,overcast clouds,8.0086,-62.3989,Posada Villa Nela
611,Puerto Maldonado,PE,82.8,few clouds,-12.6,-69.1833,Wasai Hotel
613,Impfondo,CG,76.98,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
614,Arlit,NE,76.86,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
615,Papar,MY,77.0,overcast clouds,5.7333,115.9333,Koposizon Homestay
617,San Policarpo,PH,79.88,overcast clouds,12.1791,125.5072,Agapita M. Nicart
619,Boyolangu,ID,75.11,overcast clouds,-8.1181,111.8935,Yos ega cv
625,Fort Abbas,PK,82.53,clear sky,29.1925,72.8536,AsAd's House
628,Sarangani,PH,81.43,broken clouds,5.4033,125.4636,Ballistic Islet
